AES-128 test cases:
key =      128'h952bb7a7c5f5d5656b8863200e9cb2ec;


#10;
 state = 128'h284dcc65a03a4824146ad2002377e87c;
key =      128'h05b9a39f98caae78fe0353126a0c9f05;


#10;
 state = 128'h9092596ca231cca21bb69b9f233e2d83;
key =      128'h4828f7d0b8e0f2a64ab6e345efb5c283;


#10;
 state = 128'hbe7f471cb360b014cfce164c14f20c43;
key =      128'haa5c1a0452623d0da39d1820f69252da;


#10;
 state = 128'hadb412990e6014c26ede2e2a3f82d03b;
key =      128'hf8e9deeb3c4a4b1b3ddfe763d3347239;


#10;
 state = 128'h4680e8842755e1fd4a95330fee891703;
key =      128'h11e672f6204d31bd525e2d182325929f;


#10;
 state = 128'h7769a57a969fbe86f5e034f142e36a4c;
key =      128'h9a53cadc13baa1fb6d6518ce25908aaa;


#10;
 state = 128'hb69cf930a94c3bb8bc9e2d7073fe8297;
key =      128'h470d514cc05ac8f28b2dc0e07ab0bd4a;


#10;
 state = 128'h6f314cb7f8187d8841b4b7aa85b5b239;
key =      128'hf6ccc2036bb6268a31f6e4e658aba6a1;


#10;
 state = 128'h7ac7dcf20472e05ad0462697dc55fbd8;
key =      128'h48d221bd2eb388470e5fa96c41660a4f;


#10;
 state = 128'h41bc2ee7a5452e0e2d758b554409ca86;
key =      128'h328cdbebd0603f6437debfe8b17845ca;


#10;
 state = 128'h81f23473b826376349e59bc3508def65;
key =      128'h2e8219ca40ffe3586c77dda2951df022;


#10;
 state = 128'h87160f240a3f3c473c5325d7de8ce114;
key =      128'h530d0ffa94930cf20c010be91fa11efb;


#10;
 state = 128'h75a7b82ecc7fe6f41f08d20baefe95b3;
key =      128'h96010ba4002a94179a0c2b9f78baae4a;


#10;
 state = 128'h5aed616653266c47f2722f3e68a070c4;
key =      128'h92fea17bd59328359e6f9f54b316294d;


#10;
 state = 128'hd20e038aad25346f279f9763838f3f08;
key =      128'h16168de00aeba9b696a85a480e49be84;


#10;
 state = 128'h30e057c1efdd058ca5177d9d9d28a6bc;
key =      128'heab33e3430f49ee77cc69cf81b8b0f5a;


#10;
 state = 128'hf34b6b670ee2287162b3f9a5d4ffdba0;
key =      128'h01beb21a4831b250a8c5f74e6ec35007;


#10;
 state = 128'h2c610ebbdc3a4336dd3eed3de3b13dc9;
key =      128'h3fe46fef6f87162114174c0d5882da9c;


#10;
 state = 128'h1e84e3e864fabf27754138ac6458f275;
key =      128'h82a33d6160f12b5314750877ca6cf7e2;


#10;
 state = 128'h02e8f0db5c66e3af91d1a71bfaf52a99;
key =      128'hba7c99673b1a6dc4574f8f756221bb87;


#10;
 state = 128'h5b6409ac08b7caec0a9989711a048eb3;
key =      128'hebd480276227eeed05b9767ede67da32;


#10;
 state = 128'hd039cbe306d8f1952d10717a274714ff;
key =      128'h81121b9487e33909e28c9cb059c0f376;


#10;
 state = 128'h5329f9be645901ea729169721199d87d;
key =      128'hfd92abf3958475e587771111c3e13704;


#10;
 state = 128'h1b160a307e7f700c57f011d9dd6889e9;
key =      128'h1adafb3582af5e707409266f8d37ea5d;


#10;
 state = 128'h01a84df5977f28bd22ee70392eff56f9;
key =      128'hc248d951a744f7387a1b4d1d2d085238;


#10;
 state = 128'h5d2eb0a011f4add81734e21d8a453339;
key =      128'h454c8e0da3ec9085161d08defa43255a;


#10;
 state = 128'hae5871d63cc04c1e6853f42f34f29827;
key =      128'hac793f26ad4f66cfc8c36c6e68c30692;


#10;
 state = 128'h96161b7796d2d667f2fe25cae426f1bd;
key =      128'hff90a03074addf06dd3c704bee45ff77;


#10;
 state = 128'h82845c1afd18563239ef177b381d1508;
key =      128'hbb37adb5d72fe48cccb56c5586bafa6b;


#10;
 state = 128'h89083f56118620953f4a75374077678a;
key =      128'ha0fbaf14e8772b9302b42c977d886f27;


#10;
 state = 128'h430690aee8548cb18c289e0119cc9f05;
key =      128'he2b9c74e89ca31f2848c7f5d9c0214ee;


#10;
 state = 128'h56df08a5963e3495d82266d254f1ee06;
key =      128'ha836abb6393201dc6ebebe80770ac0d2;


#10;
 state = 128'h5dcde9c8f0f40c1d78c81672bbcdb905;
key =      128'h40630364847a950426f23853c09dfcf8;


#10;
 state = 128'h031e6be6e9f312772d62bb28d9e82f75;
key =      128'h371a4c3235bb94e1c45baecc9084f8aa;


#10;
 state = 128'hda94a263ddc487b4b80a26438791f355;
key =      128'h20beab3f0b557a3fd2cfb0280c6354a9;


#10;
 state = 128'habe7f7f6c188ab7e267992d1c4ad0b85;
key =      128'hf6e56cb60e013ae694e0d1eb1ba04325;


#10;
 state = 128'hb9c6873a037a4e326629f4e1b52bd7ff;
key =      128'h29ab10433537ad4aa3c9177e95be6a5b;


#10;
 state = 128'h244e85f1b427c9d3bc1b51bd6b714628;
key =      128'ha0941d5648d6cbca3deb9fe2fbd3a909;


#10;
 state = 128'h021f212ea7b646eabf63d1976d2ad517;
key =      128'hbc0ebef26c04e4898da9ef83c7887c98;


#10;
 state = 128'h88c9a79e85307fed684493515ad66f68;
key =      128'hb716e42d4b231ac8a2d8cc09e7696049;


#10;
 state = 128'hf56f3207027a9fb19b6bbe335bf6412d;
key =      128'hed120c25303835274ad2110179313b71;


#10;
 state = 128'h1f6ea16d7321e840d40f8ca6f22f05cd;
key =      128'h38df4111776918769ac23b29e413f377;


#10;
 state = 128'hd5038194104825697fe457b16e71135c;
key =      128'hcaa6515492410f69c22c034b8ba640f7;


#10;
 state = 128'h2b60aac1803ba9cf5dff1f0086cb7132;
key =      128'h2b5071c2ccbd91818c8ee995eb173429;


#10;
 state = 128'had1678de212e5121a27e2d706028499e;
key =      128'h3c8b78bb9e0848095b2a9632a94642ca;


#10;
 state = 128'hdb565cba1dfc84ad50bf7bb27fb1e7c4;
key =      128'h69bb3c5fb707c385241232592ecd5974;


#10;
 state = 128'h630923b55a8005a845aa408087c45b27;
key =      128'h1df080989dd4f7439dc1e629f5cb8e3f;


#10;
 state = 128'h5958d4b15ab3d8da409f5e1851c764b9;
key =      128'h276eb7e4d8c442ae68758529c55d4113;


#10;
 state = 128'hef1eb515a64ad28ee9e6e930313bad4d;
key =      128'h1359a96415eb1decb67d60a3b77bdba1;


#10;
 state = 128'h1ea69a909cc5f06c2785abdabd59c059;
key =      128'h56d0b26a726bbbcfbd29e81c5474a4c3;


#10;
 state = 128'haa721b3ee546370b3c0dcce3f6f9668c;
key =      128'he74cca18a15ab785635f83a066b7d327;


#10;
 state = 128'hfa102aee44df5761af80ec236aa67a52;
key =      128'hc952f2444a6bacaa56adca2f8cbc659d;


#10;
 state = 128'hf086cd8f47356524a4f6b552730f9c2f;
key =      128'h393d618f3c83a80d0f923072249b4f95;


#10;
 state = 128'h4015211cd9874a872f7d7dffa9a28c1a;
key =      128'hfae2dfedf93665872b09c995344fa418;


#10;
 state = 128'h4d7464c6ae26fbae92dda3781d3b7f30;
key =      128'he6181d5f18e04e822f43e9175363928d;


#10;
 state = 128'ha5a0d7f74b53c6d29add306a0fb719b0;
key =      128'hb9f5cf3635d1d51e4c6514be9d9fc8a6;


#10;
 state = 128'h724340a070bd9606770a9bc7ea86c2b4;
key =      128'hafa37b910fe574512f5b4a88b2ccfb12;


#10;
 state = 128'h41250f3b6db2e2a631e4bc7d101c6a7e;
key =      128'h36bfbfe5bc46a43401eba1eed7b3b89c;


#10;
 state = 128'h6d19d8c738dacbbb066abe870e168628;
key =      128'h7944d54568368a7ac869212ca1a01dd9;


#10;
 state = 128'hb00eb9f50be9e984d01153a71ede27d9;
key =      128'h779822fdd9dfceadc9a149ef5b6a4166;


#10;
 state = 128'h7e0c78fa098af56121d99b48c03fb7c3;
key =      128'h8637d7d9955f16a5c55e015f3d21c842;


#10;
 state = 128'ha2bb2d406aab4522a48b84e11464ca3b;
key =      128'h479b9ba211dcfab13ed63afb437bf702;


#10;
 state = 128'h46e536245db0907c4f013b14a8636506;
key =      128'hb1effe00f4c2ccf909329906b54cad90;


#10;
 state = 128'h60fb31e4d5bdacc1ed24bee723958723;
key =      128'h7fd4858657739751c060a6303775ac53;


#10;
 state = 128'h9e9771dd0473541d35f29712a558871f;
key =      128'h5d242d0cf4b597c491b4153d9fc82ac2;


#10;
 state = 128'hb83e609bc7bcb1b468fcae49420d5536;
key =      128'h46a03182063a55c82c97ee6ab3cc5f18;


#10;
 state = 128'h746b0abf043b28bb0c6c37d60e4f798c;
key =      128'h7354efaaae798e4495db107d2f49a76f;


#10;
 state = 128'h6ca3b4b1b371dedca2bfdd1501b00e57;
key =      128'h417405fd10f0ed936da6cbfd239cef72;


#10;
 state = 128'h808f3fa33233001d35d4f2defe368501;
key =      128'h1d40ab8a962e30986d03d4fb66909fc3;


#10;
 state = 128'hfbe61fdefe2d19200d33020c110b6987;
key =      128'had2e4b1476435c7bf3e34630c35a73e5;


#10;
 state = 128'hb3be409366b1eb5a7473e4ed62857e4d;
key =      128'h450fb4ca41bc52107d349f98a6408e13;


#10;
 state = 128'h2959fecfd78f0ae93b4b02ee4a9dd180;
key =      128'h9590ac8596d64cfefe130beb68a45399;


#10;
 state = 128'h3b91fd51f5122007a3315d22b3edce2e;
key =      128'h79497d7bb5101fc9c4b3232ac82c5877;


#10;
 state = 128'h5d03be55015215dea1a48373cd559152;
key =      128'hd8469e0fe88d56bdf1ac417aeeb9d899;


#10;
 state = 128'h754bbd9645769ed273e71a21ba403cab;
key =      128'h979387da577f20ddfa482b619ae90204;


#10;
 state = 128'h910f34bff4d785d24b67be9fd405a8fa;
key =      128'h0c6b982f1a64ebb91a15ac166db5feae;


#10;
 state = 128'h05ffc432e9f9d64a8e34609437623a08;
key =      128'h8b44cdd2cfa6a8b803e9bb54eb709eb9;


#10;
 state = 128'hadf06f63d996e9455267cb4ad78ac905;
key =      128'h4f63ce97ca1e09767dcd08c409683ea6;


#10;
 state = 128'hf3b659ad8ccc4d421ddf341894f469fd;
key =      128'hade4573724770260b1a1450a30ba0a83;


#10;
 state = 128'ha5237163d632f0be21f31124b1b6e77a;
key =      128'h9f5e9a3fa7c4d59c9d58651ad2ce126f;


#10;
 state = 128'h4178f1830517aae135270abb31e6ddf2;
key =      128'h13d0447734ba941969d112faa83c9f25;


#10;
 state = 128'h72eab4911978015efe4e9f0cf32f347c;
key =      128'h9106ff788ec5c194f8f797d3c7a13336;


#10;
 state = 128'h453a8be7985eb28ccd96ac5158c0c5e0;
key =      128'h59eac6c55be7af877d53de46f944f412;


#10;
 state = 128'h0c3f7e7f81a49d302a4e3b4ac5830e00;
key =      128'h5c1e6dd563b7051cf6e00be47fef24ff;


#10;
 state = 128'hd38b2ea316552fcc6b40a36a8730c3b2;
key =      128'h4de34f3038b09b54a52e90a657241eb4;


#10;
 state = 128'h182baf4c492e80dfd5b46f23635ce532;
key =      128'h88b0403481c160dba426eff05afc4b0d;


#10;
 state = 128'hd97227faca23a1a742a0d710f0a5fcbc;
key =      128'h1779553ca5983ab5374abf290491460a;


#10;
 state = 128'h14de036db4de01a495f77ed8b7859c7b;
key =      128'ha7cffef2624d6738309997264a352add;


#10;
 state = 128'hd25e132dec863c1436817dbb0ced071a;
key =      128'h3eb3bc054aa00024747b399790beb063;


#10;
 state = 128'hd7621cc314c3e959804a4566518c374c;
key =      128'h188f40f4d8622f40cb4cdd68505c0b8d;


#10;
 state = 128'h8027be270e94eba77c8ede300acd1b16;
key =      128'h9b225d5bf573848cefc0c062f2401ccb;


#10;
 state = 128'h827367db82900752fcfe1fe69506cc3a;
key =      128'hb53028290eaaa4ac2ffe6b6462213e87;


#10;
 state = 128'hf8e594a5827a759cce7e79946e638445;
key =      128'h582394ac9c67ce38c0cb65394823eca3;


#10;
 state = 128'h1d400881129fbb7d79e01d344de744a1;
key =      128'h10a50ad811ac0cd814d27771e45df563;


#10;
 state = 128'h7a019dfd8c8ca0585e056dbd89abecb1;
key =      128'hcf9951f7cfe1455d1fe3b3bca50440a8;


#10;
 state = 128'h361f05de63c3aca6cac2c819ac536db5;
key =      128'h1c7becbeedeb5c31b70cce0fed5c100f;


#10;
 state = 128'hbc237c16411fe628640be1af0d105e4f;
key =      128'h7b298b4af76814e8f2af74e39bdf0b85;


#10;
 state = 128'haf57028798f076e9a7fcfb58a3b40c59;
key =      128'h7f1ede97d57786f280c726fbb91ba631;


#10;
 state = 128'h926872a9402a59e8aee72654c9519c32;
key =      128'h6c49707af142c0f6177109e659d08cb0;


#10;
 state = 128'he7eb39fee62715926d940f3b2536e6ab;
key =      128'h4c917f56253ed33f8d3dafdd3ae60d3c;


#10;
 state = 128'hd821d14621bf49e6038e53588f28c439;
key =      128'h83dcb9446aa91a8d05f7e6c93a40ddf3;


#10;
 state = 128'h941261ae02b5d1aa5e0543254bee2d07;
key =      128'h74cfcae7adde78e451b3d55e608bf3b2;


#10;
 state = 128'hfff49e549401a96ff3f307ec1b3fe134;
key =      128'h8f8f0eabe43c6d86f435ef423754c1e2;


#10;
 state = 128'hce36485fdd6337f173d1563ee28e1037;
key =      128'ha4711e1ece88ad8b7fc2bd9dddb6177e;


#10;
 state = 128'h51acec5f622e0f249cd5ff652d7e640f;
key =      128'h0dd1ef8239db599c95b99e1714736fb5;


#10;
 state = 128'h80651f5c93e2942ea32fb8939ed0ad1c;
key =      128'h38aba29c127287fbdaa82b25f6ee1b9a;


#10;
 state = 128'h6876543a7bfb59e82d1e2a1173cbefd7;
key =      128'h8cab7691229f1dfde3fc47489cd9eb62;


#10;
 state = 128'h2704503fbaa2ffa900e7c1294173b2b0;
key =      128'h26cd1e2884486c3c156745b36fb14130;


#10;
 state = 128'h3a96b591ddf438b4a9dddbf9b5ea508d;
key =      128'habdbb86fd82f242499ed976969089fd8;


#10;
 state = 128'h09a39e54d0e697d6ff79c47283b46414;
key =      128'h402e901c1d185eb4cdb606f5f936bea5;


#10;
 state = 128'h3202d95ce202e970c1e17cadfc4595e0;
key =      128'hd93c7325c6f655d10093ac5bc6f9c96a;


#10;
 state = 128'h12f9fca292f4fbe55753d5779053986b;
key =      128'hdd6a900c40a460e57740370da33e3901;


#10;
 state = 128'h1ab63735aaacaa32eb010080a47b5598;
key =      128'hca82e5e5530a26465eca4a5db9020883;


#10;
 state = 128'h72d3b83fe21c806218cd1d8057bd4972;
key =      128'h74213f2ec2c72b65f9219275dab2239a;


#10;
 state = 128'h3d4c85db85206805f89eed85654f5b36;
key =      128'hffd9719a12c1a19ccd0be233e0a7bd05;


#10;
 state = 128'h481ef342e1cd3e5b62d96b2b60c728c6;
key =      128'h365fa099744821410942530352e9e910;


#10;
 state = 128'h389a07dd711968459ad3f2d3b4fa9a1b;
key =      128'h7cea5a3a7ef0327b95873285f9e8711c;


#10;
 state = 128'hbe318278be2f4bea5858023dd60d529c;
key =      128'h2752f7acafa6432a91452d75178a2d9e;


#10;
 state = 128'h9ad5bcaf44580407a29db006af78aa02;
key =      128'hcbd6cba1837b7c0e4815c0aa9c5f9fed;


AES-192 test cases:

plaintext: 128'h6236345b3ea78e3841e0443e8ff059ee
key:       192'h325bc624edb5d6438335ca96c51f956a022856c92340cfe4
ciphertext:128'h0c739706bdd9b8a26f4ca8cb4dcd4fde

plaintext: 128'h016421139e90547a5dd0eb1a574a85c1
key:       192'hbada8050de7ffa1534e0a75089572176bc8abb422a5a1b0f
ciphertext:128'hc756400c432bced38b2d3aa5d129a8d8

plaintext: 128'hc8872a06ff1fd2af67b9fa52444539f4
key:       192'h577826e089e0d0479b456b8b8cc59f8678544cc97078741e
ciphertext:128'hafd165994aca00cb9f8d27a64bbe2dcb

plaintext: 128'h62d7316e4ba61d6a8aa21e437a1382ee
key:       192'h731558edc000daf74538542636b5b0c84c988de2ed973eaa
ciphertext:128'hc4e812ea74b9ee05796c354145011eff

plaintext: 128'h4b77395da9c58abcd91ddae2db991db4
key:       192'h3a20d1716470d5820cb00962a4f948473df07081dce7b5fa
ciphertext:128'h558798fa3bc37fd49171b0f3c0eb0ef3

plaintext: 128'h44b50490921f4e21a2cc3f2077063d15
key:       192'h8d84b64680327dfee8bd22ee67c5a4d7c9ac7aa8e95ccbc9
ciphertext:128'h5dd4e893b311638f9cbeb1b672ba09b7

plaintext: 128'h208b280bab97916546391b4787c66b99
key:       192'h646f838dd0cc3428789a78af4e61f643846eec1ec42f067d
ciphertext:128'hd1fa24fc9d9d6f078fb2f0515610b46a

plaintext: 128'hba0a68216041d0d37cc5b154944c91e5
key:       192'h4c0ce609fb9b6ddcd67f0959319bae0feaeba517ca4b2d76
ciphertext:128'h6f8684437002c88aadd8c5b347e7bd35

plaintext: 128'hc34610deaa5892a155f664792b5091d2
key:       192'haa02cf9b95db9d7eb87fc742d282caf47b95c8dad425ed5b
ciphertext:128'h69086bb993aaf20cbfb684054c57ad6c

plaintext: 128'h24291c52484f7aadc7f35149315cceee
key:       192'h89e9dc95815b6ca68ffcf134306322deeb548d3e5034a407
ciphertext:128'hd32ad48c4a871ae8bd8087a3e696cb85

